inf_mean,inf_upper,inf_lower,daily_cases,mobility_mean,mask_use_mean,cumulative_all_fully_vaccinated,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper
63.93,132.88,18.52,100,-21.921,0.891,0,32.34,32.19,32.49
58.68,127.23,16.65,93,-21.7328,0.8916,0,32.37,32.22,32.52
53.06,116.33,15.82,68,-21.5386,0.8915,0,32.4,32.25,32.55
48.14,102.84,14.95,117,-21.3402,0.8912,0,32.43,32.28,32.58
44.26,90.44,14.52,50,-21.1441,0.8919,0,32.46,32.31,32.61
42.79,82.49,14.31,87,-20.9549,0.8916,0,32.49,32.34,32.64
44.29,77.18,14.64,51,-20.7709,0.8917,0,32.52,32.37,32.67
47.32,81.09,15.04,31,-20.5873,0.8922,0,32.55,32.4,32.7
51.6,89.62,15.92,60,-20.4038,0.8924,0,32.58,32.43,32.73
56.15,98.41,17.27,77,-20.2278,0.8923,0,32.61,32.46,32.76
59.67,107.67,18.37,94,-20.0734,0.8926,0,32.64,32.49,32.79
62.47,114.03,19.35,51,-19.9577,0.8933,0,32.67,32.52,32.82
63.4,119.05,19.86,54,-19.8923,0.8937,0,32.7,32.55,32.85
61.72,122.74,18.93,41,-19.8758,0.8951,0,32.73,32.58,32.88
57.76,123.18,15.98,40,-19.8959,0.8963,0,32.76,32.61,32.91
51.43,116.68,13.47,8,-19.9374,0.8974,0,32.79,32.64,32.94
44.26,104.61,12.05,48,-19.9882,0.8987,0,32.82,32.67,32.97
37.69,87.42,10.85,40,-20.0406,0.9004,0,32.85,32.7,33
32.17,70.71,10.09,34,-20.0902,0.9021,0,32.88,32.73,33.03
28.2,60.26,9.43,40,-20.1324,0.9031,0,32.91,32.76,33.06
25.4,52.33,9.02,22,-20.1562,0.9043,0,32.94,32.79,33.09
23.46,46.51,8.95,47,-20.1454,0.9051,0,32.97,32.82,33.12
22.56,42.21,8.91,75,-20.0876,0.9052,0,33,32.85,33.15
22.93,39.01,8.76,63,-19.9799,0.9058,0,33.03,32.88,33.18
23.54,38.28,9.03,86,-19.8287,0.9058,0,33.06,32.91,33.21
24.11,38.83,9.36,42,-19.6484,0.906,0,33.09,32.94,33.24
25.99,38.97,9.95,49,-19.454,0.9057,0,33.12,32.97,33.27
28.25,38.03,12.5,48,-19.2523,0.9045,0,33.15,33,33.3
29.89,38.33,16.71,34,-19.0442,0.9024,0,33.18,33.03,33.33
31.03,41.01,22.5,26,-18.8308,0.9001,0,33.21,33.06,33.36
30.61,43.6,17.9,18,-18.6163,0.8984,0,33.24,33.09,33.39
29.18,43.54,12.18,11,-18.4093,0.8969,0,33.27,33.12,33.42
27.15,42.4,8.96,15,-18.2206,0.8958,0,33.3,33.15,33.45
23.55,39.62,7.7,18,-18.0573,0.8951,0,33.33,33.18,33.48
19.77,37.82,7.27,30,-17.9156,0.8945,0,33.36,33.21,33.51
16.8,32.91,6.78,21,-17.7845,0.8942,0,33.39,33.24,33.54
14.44,27.18,6.57,12,-17.6546,0.894,0,33.42,33.27,33.57
13.06,23.41,6.34,15,-17.5231,0.8942,0,33.45,33.3,33.6
12.51,21.05,6.23,11,-17.3956,0.8958,0,33.48,33.33,33.63
12.16,20.69,6.05,20,-17.2833,0.8981,0,33.51,33.36,33.66
11.7,20.47,5.79,15,-17.1944,0.9,0,33.54,33.39,33.69
11.05,19.98,5.56,15,-17.1243,0.9022,0,33.57,33.42,33.72
10.31,18.81,5.42,27,-17.0605,0.9043,0,33.6,33.45,33.75
9.6,17.15,5.31,23,-16.9942,0.906,0,33.63,33.48,33.78
8.98,15.44,5.2,19,-16.924,0.907,0,33.66,33.51,33.81
8.45,14.13,5.14,10,-16.8562,0.9071,0,33.69,33.54,33.84
8.14,13.25,5.07,6,-16.8008,0.9068,0,33.72,33.57,33.87
8.08,12.33,5.12,12,-16.7648,0.906,0,33.75,33.6,33.9
8.33,11.71,5.21,7,-16.7435,0.905,0,33.78,33.63,33.93
8.82,12.4,5.31,11,-16.7229,0.9032,0,33.81,33.66,33.96
9.45,13.5,5.53,10,-16.688,0.9019,0,33.84,33.69,33.99
10.24,14.99,5.73,9,-16.6283,0.9009,0,33.87,33.72,34.02
10.84,16.5,5.83,10,-16.5425,0.8997,0,33.97,33.82,34.12
11.18,17.91,5.97,7,-16.4394,0.8984,0,34.14,33.99,34.29
11.38,18.78,5.94,10,-16.3309,0.8974,0,34.31,34.17,34.47
11.28,18.68,5.9,4,-16.2202,0.8964,0,34.49,34.34,34.64
11.02,18.48,5.86,4,-16.1038,0.8961,0,34.66,34.51,34.81
10.78,18.15,5.79,5,-15.9797,0.8972,0,34.83,34.69,34.99
10.5,17.38,5.69,3,-15.8518,0.899,0,35.01,34.86,35.16
10.25,16.82,5.64,9,-15.7297,0.9009,0,35.11,34.96,35.26
10.06,16.44,5.61,3,-15.6255,0.9029,0,35.14,34.99,35.29
9.96,15.99,5.6,7,-15.5478,0.9034,0,35.17,35.02,35.32
9.92,15.54,5.57,4,-15.4936,0.9033,0,35.2,35.05,35.35
9.86,15.58,5.51,6,-15.4506,0.9032,0,35.23,35.08,35.38
9.65,15.75,5.39,12,-15.4078,0.9034,0,35.26,35.11,35.41
9.29,15.65,5.24,8,-15.3607,0.9033,0,35.29,35.14,35.44
8.96,15.23,5.32,10,-15.3114,0.9042,0,35.32,35.17,35.47
8.83,14.08,5.31,14,-15.2672,0.9056,0,35.35,35.2,35.5
8.97,12.82,5.44,5,-15.2338,0.9055,0,35.38,35.23,35.53
9.7,15.15,5.55,3,-15.208,0.905,0,35.41,35.26,35.56
11.46,20.01,5.74,7,-15.1798,0.9042,0,35.44,35.29,35.59
13.27,25,6.01,7,-15.1423,0.9034,0,35.47,35.32,35.62
14.93,25.82,7.01,7,-15.0962,0.9044,0,35.5,35.35,35.65
17.4,26.41,7.22,9,-15.0504,0.9066,0,35.53,35.38,35.68
19.63,26.86,8.42,12,-15.0188,0.9086,0,35.56,35.41,35.71
20.69,27.8,10.67,4,-15.0132,0.9107,0,35.59,35.44,35.74
20.8,27.19,12.55,1,-15.0358,0.9128,0,35.62,35.47,35.77
19.4,26.32,7.79,9,-15.0808,0.9141,0,35.65,35.5,35.8
17.4,25.76,6.23,7,-15.1446,0.9145,0,35.68,35.53,35.83
15.61,25.08,5.72,7,-15.2305,0.915,0,35.71,35.56,35.86
13.27,24.54,5.37,4,-15.349,0.9156,0,35.74,35.59,35.89
11.32,22.76,5.48,7,-15.513,0.9167,0,35.77,35.62,35.92
10.59,20.86,5.76,2,-15.7295,0.918,0,35.8,35.65,35.95
10.35,15.25,5.83,8,-15.9903,0.9182,0,35.83,35.68,35.98
10.4,15.24,5.68,9,-16.2727,0.9178,0,35.86,35.71,36.01
10.76,16.84,5.67,18,-16.5498,0.9171,0,35.89,35.74,36.04
10.96,17.76,5.61,11,-16.7975,0.9164,0,35.92,35.77,36.07
10.89,17.91,5.54,12,-16.9972,0.9156,0,35.95,35.8,36.1
10.67,17.85,5.37,2,-17.1356,0.915,0,35.98,35.83,36.13
10.22,17.61,5.08,3,-17.2036,0.9147,0,36.01,35.86,36.16
9.67,17.07,5.05,5,-17.1966,0.9146,0,36.04,35.89,36.19
9.31,16.13,5.03,6,-17.1133,0.9138,0,36.07,35.92,36.22
9.12,14.42,4.96,5,-16.9602,0.9125,0,36.1,35.95,36.25
9.17,13.76,4.99,4,-16.7527,0.9111,0,36.13,35.98,36.28
9.44,14.41,5.02,4,-16.5137,0.9098,0,36.16,36.01,36.31
9.87,15.19,5.17,5,-16.2703,0.9088,0,36.19,36.04,36.34
10.38,15.86,5.28,12,-16.0445,0.908,0,36.22,36.07,36.37
10.8,16.96,5.32,5,-15.8422,0.9066,0,36.25,36.1,36.4
11.16,17.99,5.4,18,-15.658,0.9048,0,36.28,36.13,36.43
11.43,18.78,5.49,7,-15.4868,0.9032,0,36.38,36.23,36.53
11.5,19,5.42,5,-15.3301,0.9018,0,36.55,36.4,36.7
11.4,19.16,5.3,4,-15.1973,0.901,0,36.72,36.58,36.88
11.18,19.04,5.22,6,-15.105,0.9012,0,36.9,36.75,37.05
11.06,18.79,5.36,8,-15.0662,0.9014,0,37.07,36.92,37.22
11.38,18.08,5.57,5,-15.0759,0.901,0,37.24,37.1,37.4
12.17,18.85,5.57,10,-15.1152,0.901,0,37.42,37.27,37.57
13.2,20.65,5.74,2,-15.1624,0.9004,0,37.52,37.37,37.67
14.47,22.92,6.12,9,-15.2005,0.8994,0,37.55,37.4,37.7
15.92,25.28,6.41,3,-15.221,0.8994,0,37.58,37.43,37.73
17.23,28.05,6.83,13,-15.2253,0.9007,0,37.61,37.46,37.76
18.62,30.32,7.11,5,-15.2168,0.9016,0,37.64,37.49,37.79
19.91,33.36,7.39,13,-15.1896,0.9017,0,37.67,37.52,37.82
20.6,36.37,7.53,12,-15.1305,0.9013,0,37.7,37.55,37.85
20.98,37.82,7.81,6,-15.031,0.9007,0,37.73,37.58,37.88
20.82,38.11,7.6,6,-14.8917,0.9003,0,37.76,37.61,37.91
19.93,37.43,7.12,8,-14.7234,0.9007,0,37.79,37.64,37.94
18.81,36.89,6.58,8,-14.5457,0.9004,0,37.82,37.67,37.97
17.53,34.95,6.32,7,-14.3772,0.9009,0,37.85,37.7,38
16.69,31.97,6.69,5,-14.2209,0.902,0,37.88,37.73,38.03
16.9,28.95,6.83,16,-14.0658,0.9027,0,37.91,37.76,38.06
18.05,29.83,6.82,12,-13.9059,0.9027,0,37.94,37.79,38.09
20.35,34.31,7.02,24,-13.7484,0.9025,0,37.97,37.82,38.12
23.57,41.15,7.76,9,-13.6137,0.9034,0,38,37.85,38.15
26.94,45.86,8.7,17,-13.5302,0.9046,0,38.03,37.88,38.18
30,51.76,9.64,19,-13.5252,0.9052,0,38.06,37.91,38.21
32.43,56.12,10.22,10,-13.6113,0.9058,0,38.09,37.94,38.24
33.91,61.49,10.85,29,-13.7833,0.9055,0,38.12,37.97,38.27
34.43,64.45,11.41,21,-14.028,0.906,0,38.15,38,38.3
34.41,64.63,11.42,13,-14.3302,0.9059,0,38.18,38.03,38.33
34.32,63.86,11.24,14,-14.6734,0.9057,0,38.21,38.06,38.36
34.01,62.47,11.12,10,-15.0393,0.9051,0,38.24,38.09,38.39
33.56,62.88,11.18,5,-15.4081,0.9046,0,38.27,38.12,38.42
33.53,62.89,11.08,5,-15.7567,0.9046,0,38.3,38.15,38.45
33.9,61.29,10.87,13,-16.0579,0.9047,0,38.33,38.18,38.48
34.32,61.48,10.99,27,-16.288,0.9041,0,38.36,38.21,38.51
34.6,64.12,11.24,30,-16.4337,0.9045,0.333333333,38.39,38.24,38.54
34.45,65.63,11.44,30,-16.4921,0.9056,0.666666667,38.42,38.27,38.57
33.98,65.36,11.38,33,-16.467,0.9077,1,38.45,38.3,38.6
33.65,63.44,10.98,35,-16.3661,0.909,1.333333333,38.48,38.33,38.63
33.41,60.56,10.79,24,-16.1992,0.9107,1.666666667,38.51,38.36,38.66
33.02,61.37,10.94,28,-15.9778,0.9123,2,38.54,38.39,38.69
32.34,62.19,10.61,31,-15.7187,0.9141,3,38.57,38.42,38.72
31.45,61.32,10.69,33,-15.4426,0.9159,4,38.6,38.45,38.75
31.22,59.08,10.25,23,-15.1715,0.9175,7,38.63,38.48,38.78
31.76,55.25,10.15,29,-14.9252,0.9183,9,38.66,38.51,38.81
32.06,57.5,10.13,42,-14.7162,0.9191,9,38.69,38.54,38.84
32.08,59.97,10.66,22,-14.5447,0.9192,11,38.72,38.57,38.87
32.02,62.89,10.91,17,-14.4041,0.9178,13,38.75,38.6,38.9
32.16,59.96,10.4,38,-14.2874,0.9164,14,38.78,38.63,38.93
33.15,57.13,10.59,45,-14.1913,0.9154,15,38.81,38.66,38.96
34.03,60.17,10.43,30,-14.117,0.9143,18,38.84,38.69,38.99
34.46,63.69,11.05,24,-14.0676,0.9131,20,38.87,38.72,39.02
34.82,67.97,11.64,30,-14.043,0.912,23,38.9,38.75,39.05
